timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-11-07 17:30:00,Bainbridge,Colman,30:00.0,43:10.0,10:05.0,27.0,790.0
2013-11-07 18:30:00,Bainbridge,Colman,30:00.0,30:00.0,57:34.0,27.0,0.0
2013-11-07 19:10:00,Bainbridge,Colman,10:00.0,24:18.0,55:56.0,31.0,858.0
2013-11-07 20:10:00,Bainbridge,Colman,10:00.0,10:33.0,39:59.0,29.0,33.0
2013-11-07 20:55:00,Bainbridge,Colman,55:00.0,55:00.0,26:44.0,31.0,0.0
2013-11-07 21:45:00,Bainbridge,Colman,45:00.0,45:32.0,16:24.0,31.0,32.0
2013-11-07 22:35:00,Bainbridge,Colman,35:00.0,37:59.0,07:31.0,30.0,179.0
2013-11-08 00:55:00,Bainbridge,Colman,55:00.0,00:04.0,30:26.0,30.0,304.0
2013-11-08 04:45:00,Bainbridge,Colman,45:00.0,45:00.0,15:18.0,30.0,0.0
2013-11-08 05:20:00,Bainbridge,Colman,20:00.0,20:10.0,51:17.0,31.0,10.0
2013-11-08 06:20:00,Bainbridge,Colman,20:00.0,20:00.0,48:57.0,28.0,0.0
2013-11-08 07:05:00,Bainbridge,Colman,05:00.0,05:00.0,35:40.0,30.0,0.0
2013-11-08 07:55:00,Bainbridge,Colman,55:00.0,56:01.0,24:40.0,28.0,61.0
2013-11-08 08:45:00,Bainbridge,Colman,45:00.0,45:00.0,16:35.0,31.0,0.0
2013-11-08 09:40:00,Bainbridge,Colman,40:00.0,40:00.0,09:32.0,29.0,0.0
2013-11-08 10:25:00,Bainbridge,Colman,25:00.0,27:13.0,57:34.0,30.0,133.0
2013-11-08 11:30:00,Bainbridge,Colman,30:00.0,34:09.0,03:42.0,29.0,249.0
2013-11-08 12:20:00,Bainbridge,Colman,20:00.0,20:25.0,50:58.0,30.0,25.0
2013-11-08 13:10:00,Bainbridge,Colman,10:00.0,19:57.0,48:52.0,29.0,597.0
2013-11-08 14:05:00,Bainbridge,Colman,05:00.0,05:15.0,40:00.0,35.0,15.0
2013-11-08 14:55:00,Bainbridge,Colman,55:00.0,00:59.0,31:04.0,31.0,359.0
2013-11-08 15:50:00,Bainbridge,Colman,50:00.0,50:45.0,22:06.0,32.0,45.0
2013-11-08 16:35:00,Bainbridge,Colman,35:00.0,44:17.0,14:31.0,30.0,557.0
2013-11-08 17:30:00,Bainbridge,Colman,30:00.0,38:30.0,09:43.0,31.0,510.0
2013-11-08 18:30:00,Bainbridge,Colman,30:00.0,31:01.0,01:55.0,30.0,61.0
2013-11-08 19:10:00,Bainbridge,Colman,10:00.0,26:26.0,57:49.0,31.0,986.0
